Original Name,English Slug,Style Image Filename,Ingredients Image Filename
七香十二精紫薇讳,ziwei_talisman,ziwei_talisman_style.jpg,ziwei_talisman_ing.jpg
七香十二精药 SEVEN FRAGRANCES AND TWELVE ESSENCES,seven_fragrances_and_twelve_essences,seven_fragrances_and_twelve_essences_style.jpg,seven_fragrances_and_twelve_essences_ing.jpg
五方贵人 THE FIVE ELEMENTAL GUARDIANS,the_five_elemental_guardians,the_five_elemental_guardians_style.jpg,the_five_elemental_guardians_ing.jpg
人参莲花香牌,ginseng_lotus,ginseng_lotus_style.jpg,ginseng_lotus_ing.jpg
傅延年 FU YAN NIAN,fu_yan_nian,fu_yan_nian_style.jpg,fu_yan_nian_ing.jpg
内府龙涎 IMPERIAL DRAGON'S BREATH,imperial_dragon_s_breath,imperial_dragon_s_breath_style.jpg,imperial_dragon_s_breath_ing.jpg
大苏合 GRAND SUHE INCENSE,grand_suhe_incense,grand_suhe_incense_style.jpg,grand_suhe_incense_ing.jpg
孔韵迷迭 CONFUCIAN CHARM ROSEMARY,confucian_charm_rosemary,confucian_charm_rosemary_style.jpg,confucian_charm_rosemary_ing.jpg
安宫牛黄 AN GONG NIU HUANG,an_gong_niu_huang,an_gong_niu_huang_style.jpg,an_gong_niu_huang_ing.jpg
安眠安神,sleep_aid,sleep_aid_style.jpg,sleep_aid_ing.jpg
归元香 RETURNING TO THE ORIGIN,returning_to_the_origin,returning_to_the_origin_style.jpg,returning_to_the_origin_ing.jpg
御制白龙涎 WHITE DRAGON'S REALM,white_dragon_s_realm,white_dragon_s_realm_style.jpg,white_dragon_s_realm_ing.jpg
御制黑龙涎 IMPERIAL DRAGON'S NECTAR,imperial_dragon_s_nectar,imperial_dragon_s_nectar_style.jpg,imperial_dragon_s_nectar_ing.jpg
松塔,pine_cone,pine_cone_style.jpg,pine_cone_ing.jpg
桂花、茉莉、鹅梨,osmanthus_jasmine_pear,osmanthus_jasmine_pear_style.jpg,osmanthus_jasmine_pear_ing.jpg
檀香,sandalwood,sandalwood_style.jpg,sandalwood_ing.jpg
汉宫椒房 THE JIAOFANG (PEPPER PALACE/CHAMBER),the_jiaofang,the_jiaofang_style.jpg,the_jiaofang_ing.jpg
沉香,agarwood,agarwood_style.jpg,agarwood_ing.jpg
湖蓝龙梅 LAKE BLUE IMPERIAL PLUIM,lake_blue_imperial_pluim,lake_blue_imperial_pluim_style.jpg,lake_blue_imperial_pluim_ing.jpg
湖蓝龙梅凤九香牌,blue_imperial_plum_card,blue_imperial_plum_card_style.jpg,blue_imperial_plum_card_ing.jpg
福梳,blessing_comb,blessing_comb_style.jpg,blessing_comb_ing.jpg
紫气东来 THE EASTERN PURPLE QI ARRIVES,the_eastern_purple_qi_arrives,the_eastern_purple_qi_arrives_style.jpg,the_eastern_purple_qi_arrives_ing.jpg
紫油降真 PURPLE OIL JIANGZHEN INCENSE,purple_oil_jiangzhen_incense,purple_oil_jiangzhen_incense_style.jpg,purple_oil_jiangzhen_incense_ing.jpg
红麝 RED MUSK-SCENTED HARMONY BLEND,red_musk,red_musk_style.jpg,red_musk_ing.jpg
花蕊夫人 MADAME HUARUI (ROSE HEART),madame_huarui,madame_huarui_style.jpg,madame_huarui_ing.jpg
芳华茉莉 YOUTHFUL JASMINE,youthful_jasmine,youthful_jasmine_style.jpg,youthful_jasmine_ing.jpg
苏合香牌,suhe_card,suhe_card_style.jpg,suhe_card_ing.jpg
茉莉身体乳,jasmine_lotion,jasmine_lotion_style.jpg,jasmine_lotion_ing.jpg
返魂香 FANTIAN XIANG (RETURN-SOUL INCENSE),fantian_xiang,fantian_xiang_style.jpg,fantian_xiang_ing.jpg
马上有钱（龙瑞）,horse_wealth,horse_wealth_style.jpg,horse_wealth_ing.jpg
驱疫香,epidemic_protection,epidemic_protection_style.jpg,epidemic_protection_ing.jpg
鹅梨帐中香 Midnight Pear in the Canopy,midnight_pear_in_the_canopy,midnight_pear_in_the_canopy_style.jpg,midnight_pear_in_the_canopy_ing.jpg
麒麟竭/龙瑞 QI LIN BLOOD RESIN,qi_lin_blood_resin,qi_lin_blood_resin_style.jpg,qi_lin_blood_resin_ing.jpg
龙涎紫雪 LONG YAN ZI XUE,long_yan_zi_xue,long_yan_zi_xue_style.jpg,long_yan_zi_xue_ing.jpg
龙瑞凤九牌,dragon_phoenix_card,dragon_phoenix_card_style.jpg,dragon_phoenix_card_ing.jpg
